Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-4283.596	-4837.916	554.3201	0.7965402	0.522476	0.0468956	0.274852	0.155776	1.23834	2.590906
6	-4301.118	-4855.612	554.4938	0.7183754	0.495777	0.0853796	0.260807	0.158036	1.191418	2.563394
12	-4282.743	-4836.378	553.6349	0.8158002	0.494112	0.18284	0.185724	0.137324	1.278627	2.971858
18	-4269.791	-4824.07	554.2787	0.9210282	0.572659	0.143369	0.122621	0.161351	1.265054	2.519908
24	-4267.927	-4822.23	554.3037	0.9103968	0.631871	0.0370856	0.0986258	0.232418	1.169532	2.57055
30	-4289.109	-4843.723	554.6137	0.7796227	0.547905	0.114844	0.198631	0.13862	1.272927	2.39676
36	-4281.194	-4836.408	555.2137	0.9740367	0.60879	0.103352	0.169261	0.118597	1.455089	1.747459
42	-4271.315	-4826.397	555.082	0.8142621	0.626965	0.13727	0.10108	0.134684	1.423305	1.971608
48	-4267.699	-4822.18	554.481	0.8103805	0.506695	0.0842951	0.326303	0.0827072	1.3459	2.414088
54	-4260.923	-4815.548	554.6249	0.6677164	0.473282	0.0826404	0.265558	0.178519	1.199718	2.509977
60	-4282.712	-4837.48	554.768	0.1211196	0.331174	0.371891	0.195291	0.101644	1.360987	2.414244
66	-4299.246	-4854.323	555.0764	0.188062	0.569118	0.257458	0.160912	0.012512	1.310553	2.354054
72	-4302.292	-4857.435	555.1429	0.1403252	0.586181	0.10248	0.0640503	0.247289	1.410491	2.187852
78	-4283.44	-4838.571	555.1309	0.1354348	0.444722	0.173173	0.0934575	0.288648	1.40702	2.187852
84	-4278.932	-4834.01	555.0779	0.1427287	0.330821	0.337413	0.140801	0.190965	1.261483	2.329847
90	-4279.87	-4833.189	553.319	0.7767519	0.443432	0.208702	0.262251	0.085615	1.029969	3.331771
96	-4278.643	-4832.753	554.1098	0.7253729	0.431716	0.238027	0.225495	0.104761	1.095664	2.853075
102	-4278.839	-4833.105	554.2658	0.5849367	0.477293	0.22145	0.185436	0.115821	1.258987	2.748985
108	-4268.05	-4822.528	554.4785	0.679311	0.561628	0.158561	0.202294	0.0775171	1.295725	2.53371
114	-4266.909	-4821.954	555.0452	0.6285544	0.535853	0.197178	0.19301	0.0739596	1.332802	2.184541
120	-4262.334	-4817.38	555.046	0.5510788	0.525777	0.142349	0.257092	0.0747819	1.342211	2.230357
126	-4256.626	-4811.658	555.0323	0.6045044	0.470444	0.135467	0.292138	0.101952	1.49241	2.105412
132	-4284.204	-4839.023	554.8192	0.6796794	0.4299	0.198144	0.210473	0.161483	1.331543	2.295996
138	-4278.314	-4833.032	554.7171	0.7012341	0.532221	0.155778	0.126352	0.185649	1.330798	2.34698
144	-4277.646	-4832.743	555.0971	0.6373195	0.32699	0.379447	0.187364	0.106198	1.412952	2.092358
150	-4256.562	-4811.061	554.4991	0.7115939	0.488123	0.232963	0.14146	0.137454	1.312497	2.489072
156	-4254.13	-4808.967	554.8369	0.6497822	0.450985	0.245796	0.200589	0.10263	1.323547	2.310047
162	-4267.982	-4822.634	554.6521	0.7299142	0.436366	0.332915	0.154369	0.076349	1.439964	2.29955
168	-4278.712	-4834.032	555.3205	0.578155	0.496724	0.300056	0.126981	0.0762393	1.425088	1.977458
174	-4292.385	-4847.402	555.0177	0.1297224	0.240118	0.287486	0.213419	0.258977	1.251007	2.347736
180	-4280.574	-4835.317	554.743	0.1300493	0.398701	0.310306	0.227034	0.0639592	1.254069	2.519474
186	-4249.135	-4804.46	555.3253	0.161203	0.425933	0.35088	0.140885	0.0823023	1.418311	2.097477
192	-4259.845	-4815.217	555.3725	0.1439375	0.206627	0.372646	0.164616	0.25611	1.320718	2.103586
198	-4262.287	-4817.992	555.7051	0.1751667	0.175698	0.383498	0.172472	0.268332	1.483499	1.814736
204	-4257.677	-4813.052	555.3756	0.1607357	0.213954	0.467	0.174327	0.144719	1.43183	2.054841
210	-4252.735	-4808.08	555.3444	0.2681348	0.40632	0.371641	0.176111	0.045927	1.617481	1.999569
216	-4273.468	-4828.951	555.4828	0.2667638	0.475445	0.213321	0.19972	0.111514	1.479294	1.999569
222	-4280.895	-4836.612	555.7166	0.3970938	0.479511	0.215145	0.188003	0.11734	1.614092	1.695757
228	-4273.784	-4829.912	556.1282	0.4975539	0.483949	0.209796	0.191832	0.114423	1.634636	1.300412
234	-4302.081	-4856.785	554.7045	0.6462767	0.546758	0.0922564	0.299021	0.0619642	1.269327	2.430685
240	-4303.069	-4857.167	554.0984	0.681035	0.556598	0.0737527	0.304402	0.065247	1.215812	2.815592
246	-4277.703	-4832.299	554.5957	0.7141269	0.494327	0.250716	0.215224	0.0397336	1.3107	2.427873
252	-4294.227	-4849.715	555.4881	0.6255736	0.430648	0.27482	0.190074	0.104459	1.587016	1.71722
258	-4285.771	-4840.955	555.1838	0.650571	0.520647	0.234853	0.213901	0.0305986	1.500488	1.967453
264	-4269.001	-4824.059	555.0583	0.7701349	0.454622	0.222079	0.164084	0.159216	1.479007	1.981209
